id,prediction,probability
118,0,0.4382
119,0,0.5311
120,0,0.1019
121,0,0.0
122,0,0.3272
123,0,0.3508
124,0,0.512
125,0,0.1005
126,0,0.5318
127,0,0.3419
128,0,0.1478
129,0,0.2526
130,0,0.4699
131,0,0.2514
132,0,0.1473
133,0,0.3499
134,0,0.3971
135,0,0.2868
136,0,0.0137
137,0,0.3344
138,0,0.7179
139,0,0.0
140,0,0.2627
141,0,0.3645
142,0,0.57
143,0,0.3413
144,0,0.3499
145,0,0.6893
146,0,0.0974
147,0,0.1608
148,0,0.0597
149,0,0.5676
150,0,0.3196
151,0,0.2747
152,0,0.6382
153,0,0.0
154,0,0.4559
155,0,0.4788
156,0,0.291
157,0,0.6017
158,0,0.3075
159,0,0.16
160,0,0.2968
161,0,0.2987
162,0,0.6553
163,0,0.3691
164,0,0.5123
165,0,0.2897
166,0,0.0971
167,0,0.3562
168,0,0.3611
169,0,0.2675
170,0,0.4636
171,0,0.2599
172,0,0.079
173,0,0.1597
174,0,0.4902
175,0,0.161
176,0,0.1571
177,0,0.081
178,0,0.1362
179,0,0.3574
180,0,0.1811
181,0,0.4274
182,0,0.1247
183,0,0.3328
184,0,0.0474
185,0,0.3311
186,0,0.389
187,0,0.2559
188,0,0.0
189,0,0.5557
190,0,0.1817
191,0,0.2007
192,0,0.5659
193,0,0.4377
194,0,0.4377
195,0,0.4178
196,0,0.2315
197,0,0.0
198,0,0.2279
199,0,0.2191
200,0,0.2716
201,0,0.3533
202,0,0.0859
203,0,0.3486
204,0,0.1555
205,0,0.3173
206,0,0.3161
207,0,0.5274
208,0,0.3841
209,0,0.3032
210,0,0.0
211,0,0.2185
212,0,0.4426
213,0,0.3036
214,0,0.2276
215,0,0.2947
216,0,0.3738
217,0,0.3093
218,0,0.1664
219,0,0.3751
220,0,0.1343
221,0,0.7453
222,0,0.136
223,0,0.2492
224,0,0.4904
225,0,0.5484
226,0,0.5506
227,0,0.3108
228,0,0.107
229,0,0.201
230,0,0.635
231,0,0.6018
232,0,0.3669
233,0,0.3814
234,0,0.3631
235,0,0.3453
236,0,0.4716
237,0,0.4003
238,0,0.2865
239,0,0.2416
240,0,0.1657
241,0,0.1278
242,0,0.1431
243,0,0.0528
244,0,0.7197
245,0,0.5234
246,0,0.4388
247,0,0.0381
248,0,0.7602
249,0,0.153
250,0,0.3417
251,0,0.3789
252,0,0.2787
253,0,0.2403
254,0,0.3256
255,0,0.4201
256,0,0.1918
257,0,0.4087
258,0,0.4104
259,0,0.1159
260,0,0.1451
261,0,0.396
262,0,0.1845
263,0,0.7302
264,0,0.4874
265,0,0.3997
266,0,0.1682
267,0,0.2855
268,0,0.1939
269,0,0.0
270,0,0.2337
271,0,0.007
272,0,0.2992
273,0,0.1231
274,0,0.2594
275,0,0.1299
276,0,0.2694
277,0,0.3243
278,0,0.2491
279,0,0.484
280,0,0.2812
281,0,0.4155
282,0,0.5058
283,0,0.2903
284,0,0.3293
285,0,0.2888
286,0,0.3143
287,0,0.1266
288,0,0.2196
289,0,0.1045
290,0,0.0
291,0,0.5344
292,0,0.505
293,0,0.1577
294,0,0.137
295,0,0.4254
296,0,0.665
297,0,0.3174
298,0,0.4226
299,0,0.1337
300,0,0.1958
301,0,0.1954
302,0,0.4111
303,0,0.5542
304,0,0.6423
305,0,0.002
306,0,0.2227
307,0,0.5619
308,0,0.5751
309,0,0.5554
310,0,0.2227
311,0,0.1829
312,0,0.2122
313,0,0.2757
314,0,0.2179
315,0,0.3782
316,0,0.2498
317,0,0.1136
318,0,0.4213
319,0,0.5302
320,0,0.3534
321,0,0.749
322,0,0.3105
323,0,0.3321
324,0,0.2194
325,0,0.2297
326,0,0.0882
327,0,0.3518
328,0,0.2047
329,0,0.1589
330,0,0.3751
331,0,0.1842
332,0,0.4247
333,0,0.3224
334,0,0.224
335,0,0.0087
336,0,0.2204
337,0,0.4397
338,0,0.6728
339,0,0.0
340,0,0.2632
341,0,0.3986
342,0,0.1242
343,0,0.14
344,0,0.4739
345,0,0.2805
346,0,0.1886
347,0,0.2433
348,0,0.0946
349,0,0.2388
350,0,0.3349
351,0,0.3324
352,0,0.4606
353,0,0.2069
354,0,0.2557
355,0,0.1617
356,0,0.2066
357,0,0.1574
358,0,0.146
359,0,0.1744
360,0,0.1883
361,0,0.5544
362,0,0.4906
363,0,0.4107
364,0,0.2876
365,0,0.4185
366,0,0.3376
367,0,0.3177
368,0,0.0964
369,0,0.3695
370,0,0.5153
371,0,0.3723
372,0,0.3747
373,0,0.5676
374,0,0.3981
375,0,0.1549
376,0,0.5377
377,0,0.1828
378,0,0.4044
379,0,0.3788
380,0,0.2132
381,0,0.2078
382,0,0.2809
383,0,0.0
384,0,0.1343
385,0,0.4491
386,0,0.4079
387,0,0.1855
388,0,0.487
389,0,0.7479
390,0,0.6401
391,0,0.1668
392,0,0.1469
393,0,0.5083
394,0,0.1485
395,0,0.285
396,0,0.2723
397,0,0.0038
398,0,0.3491
399,0,0.382
400,0,0.285
401,0,0.6773
402,0,0.4948
403,0,0.1863
404,0,0.2687
405,0,0.3192
406,0,0.3478
407,0,0.3792
408,0,0.245
409,0,0.3751
410,0,0.2219
411,0,0.3335
412,0,0.0971
413,0,0.5255
414,0,0.2566
415,0,0.0822
416,0,0.0253
417,0,0.0208
418,0,0.3643
419,0,0.4815
420,0,0.2732
421,0,0.6471
422,0,0.0976
423,0,0.361
424,0,0.2666
425,0,0.249
426,0,0.2691
427,0,0.0713
428,0,0.461
429,0,0.3992
430,0,0.3192
431,0,0.4338
432,0,0.2735
433,0,0.3453
434,0,0.3041
435,0,0.3236
436,0,0.0704
437,0,0.3711
438,0,0.287
439,0,0.0
440,0,0.5047
441,0,0.357
442,0,0.4247
443,0,0.5619
444,0,0.5321
445,0,0.1091
446,0,0.2242
447,0,0.3477
448,0,0.1078
449,0,0.2029
450,0,0.2614
451,0,0.481
452,0,0.3558
453,0,0.5401
454,0,0.0681
455,0,0.3065
456,0,0.3144
457,0,0.1689
458,0,0.3163
459,0,0.387
460,0,0.3675
461,0,0.194
462,0,0.4059
463,0,0.2734
464,0,0.1453
465,0,0.2158
466,0,0.2772
467,0,0.2894
468,0,0.2641
469,0,0.5829
470,0,0.2961
471,0,0.2722
472,0,0.4034
473,0,0.4658
474,0,0.1998
475,0,0.2403
476,0,0.1265
477,0,0.1806
478,0,0.0204
479,0,0.6051
480,0,0.7995
481,0,0.0211
482,0,0.3406
483,0,0.0258
484,0,0.4158
485,0,0.0418
486,0,0.1749
487,0,0.7329
488,0,0.0
489,0,0.3581
490,0,0.2652
491,0,0.2237
492,0,0.4618
493,0,0.7684
494,0,0.3098
495,0,0.3321
496,0,0.2117
497,0,0.6535
498,0,0.5152
499,0,0.0114
500,0,0.0
501,0,0.1755
502,0,0.0523
503,0,0.4279
504,0,0.3341
505,0,0.2431
506,0,0.387
507,0,0.7375
508,0,0.2176
509,0,0.3607
510,0,0.2812
511,0,0.0338
512,0,0.0957
513,0,0.1973
514,0,0.3157
515,0,0.6233
516,0,0.798
517,0,0.1928
518,0,0.3576
519,0,0.196
520,0,0.345
521,0,0.0293
522,0,0.3491
523,0,0.095
524,0,0.294
525,0,0.1052
526,0,0.8468
527,0,0.5108
528,0,0.4412
529,0,0.1656
530,0,0.0
531,0,0.1136
532,0,0.4448
533,0,0.4683
534,0,0.2923
535,0,0.3462
536,0,0.0
537,0,0.6828
538,0,0.7748
539,0,0.1329
540,0,0.136
541,0,0.1845
542,0,0.7487
543,0,0.3003
544,0,0.6755
545,0,0.188
546,0,0.3658
547,0,0.439
548,0,0.1351
549,0,0.3109
550,0,0.2969
551,0,0.3276
552,0,0.5613
553,0,0.1784
554,0,0.3973
555,0,0.2541
556,0,0.722
557,0,0.4252
558,0,0.328
559,0,0.1137
560,0,0.1719
561,0,0.8331
562,0,0.4944
563,0,0.2045
564,0,0.4558
565,0,0.3869
566,0,0.5858
567,0,0.6571
568,0,0.576
569,0,0.2446
570,0,0.2305
571,0,0.0533
572,0,0.2957
573,0,0.3815
574,0,0.3905
575,0,0.101
576,0,0.4676
577,0,0.2915
578,0,0.2534
579,0,0.116
580,0,0.2888
581,0,0.5747
582,0,0.2241
583,0,0.3061
584,0,0.7464
585,0,0.0712
586,0,0.4159
587,0,0.5857
588,0,0.6329
589,0,0.0122
590,0,0.4907
591,0,0.5522
592,0,0.0496
593,0,0.2117
594,0,0.0585
595,0,0.407
596,0,0.179
597,0,0.0
598,0,0.5642
599,0,0.6032
600,0,0.5681
601,0,0.0972
602,0,0.2352
603,0,0.1174
604,0,0.1861
605,0,0.0108
606,0,0.16
607,0,0.4008
608,0,0.133
609,0,0.2671
610,0,0.279
611,0,0.1469
612,0,0.3329
613,0,0.0149
614,0,0.3099
615,0,0.4075
616,0,0.4569
617,0,0.3658
618,0,0.3654
619,0,0.2493
620,0,0.1653
621,0,0.3832
622,0,0.3874
623,0,0.2702
624,0,0.3102
625,0,0.3914
626,0,0.191
627,0,0.1012
628,0,0.1509
629,0,0.0724
630,0,0.1555
631,0,0.256
632,0,0.3776
633,0,0.4166
634,0,0.6656
635,0,0.1215
636,0,0.3814
637,0,0.0393
638,0,0.0786
639,0,0.4618
640,0,0.1957
641,0,0.2462
642,0,0.5237
643,0,0.041
644,0,0.6196
645,0,0.6213
646,0,0.296
647,0,0.0908
648,0,0.2046
649,0,0.4108
650,0,0.0467
651,0,0.4301
652,0,0.4149
653,0,0.3169
654,0,0.1435
655,0,0.5557
656,0,0.5872
657,0,0.2704
658,0,0.4231
659,0,0.3508
660,0,0.3844
661,0,0.308
662,0,0.1085
663,0,0.7959
664,0,0.2834
665,0,0.3289
666,0,0.7692
667,0,0.1613
668,0,0.5236
669,0,0.4973
670,0,0.3115
671,0,0.1931
672,0,0.1613
673,0,0.2622
674,0,0.2223
675,0,0.9639
676,0,0.0
677,0,0.2219
678,0,0.6958
679,0,0.5171
680,0,0.2361
681,0,0.0497
682,0,0.3264
683,0,0.2348
684,0,0.0053
685,0,0.7772
686,0,0.421
687,0,0.34
688,0,0.2962
689,0,0.3693
690,0,0.3078
691,0,0.3195
692,0,0.5263
693,0,0.0401
694,0,0.0002
695,0,0.0353
696,0,0.3928
697,0,0.3939
698,0,0.0302
699,0,0.3179
700,0,0.6652
701,0,0.4251
702,0,0.12
703,0,0.164
704,0,0.018
705,0,0.4854
706,0,0.0636
707,0,0.3154
708,0,0.1265
709,0,0.3215
710,0,0.3109
711,0,0.1444
712,0,0.0317
713,0,0.0199
714,0,0.6465
715,0,0.2023
716,0,0.2848
717,0,0.243
718,0,0.8543
719,0,0.4735
720,0,0.4653
721,0,0.5365
722,0,0.4392
723,0,0.1333
724,0,0.174
725,0,0.5211
726,0,0.0999
727,0,0.4853
728,0,0.7726
729,0,0.0499
730,0,0.4724
731,0,0.0
732,0,0.4777
733,0,0.0203
734,0,0.0574
735,0,0.4823
736,0,0.4548
737,0,0.3391
738,0,0.3027
739,0,0.2105
740,0,0.3384
741,0,0.1363
742,0,0.4138
743,0,0.4572
744,0,0.5316
745,0,0.0
746,0,0.4924
747,0,0.4305
748,0,0.6353
749,0,0.3268
750,0,0.6306
751,0,0.4482
752,0,0.6886
753,0,0.2414
754,0,0.6405
755,0,0.0708
756,0,0.1159
757,0,0.315
758,0,0.1143
759,0,0.3363
760,0,0.1438
761,0,0.4488
762,0,0.4102
763,0,0.3107
764,0,0.2715
765,0,0.2794
766,0,0.3856
767,0,0.0004
768,0,0.3042
769,0,0.0908
770,0,0.2103
771,0,0.4143
772,0,0.1648
773,0,0.292
774,0,0.3785
775,0,0.3197
776,0,0.1759
777,0,0.5546
778,0,0.2447
779,0,0.3161
780,0,0.0781
781,0,0.5852
782,0,0.6644
783,0,0.2791
784,0,0.1994
785,0,0.2959
786,0,0.3385
787,0,0.3324
788,0,0.1042
789,0,0.4693
790,0,0.4095
791,0,0.6578
792,0,0.2405
793,0,0.58
794,0,0.2007
795,0,0.0373
796,0,0.1054
797,0,0.2837
798,0,0.3119
799,0,0.1491
800,0,0.2487
801,0,0.5895
802,0,0.4885
803,0,0.6904
804,0,0.1071
805,0,0.3864
806,0,0.1692
807,0,0.1981
808,0,0.3845
809,0,0.4603
810,0,0.1814
811,0,0.221
812,0,0.1537
813,0,0.4292
814,0,0.3988
815,0,0.8025
816,0,0.1336
817,0,0.3081
818,0,0.2942
819,0,0.3234
820,0,0.2742
821,0,0.027
822,0,0.2764
823,0,0.5465
824,0,0.1517
825,0,0.2955
826,0,0.4729
827,0,0.0473
828,0,0.4131
829,0,0.3265
830,0,0.3444
831,0,0.1586
832,0,0.2099
833,0,0.4138
834,0,0.305
835,0,0.1662
836,0,0.5438
837,0,0.5216
838,0,0.2309
839,0,0.0
840,0,0.5469
841,0,0.111
842,0,0.3282
843,0,0.3528
844,0,0.2513
845,0,0.7445
846,0,0.3933
847,0,0.3217
848,0,0.0
849,0,0.2623
850,0,0.4837
851,0,0.2349
852,0,0.075
853,0,0.4659
854,0,0.1918
855,0,0.3881
856,0,0.4624
857,0,0.0
858,0,0.2587
859,0,0.8551
860,0,0.1898
861,0,0.172
862,0,0.1729
863,0,0.2944
864,0,0.4713
865,0,0.5392
866,0,0.0
867,0,0.2132
868,0,0.0
869,0,0.1362
870,0,0.3569
871,0,0.1423
872,0,0.2704
873,0,0.0
874,0,0.3772
875,0,0.418
876,0,0.0862
877,0,0.1464
878,0,0.7806
879,0,0.3218
880,0,0.354
881,0,0.179
882,0,0.2072
883,0,0.675
884,0,0.4457
885,0,0.1429
886,0,0.0812
887,0,0.0
888,0,0.3695
889,0,0.2894
890,0,0.4338
891,0,0.4052
892,0,0.2444
893,0,0.151
894,0,0.3391
895,0,0.5058
896,0,0.436
897,0,0.1257
898,0,0.1974
899,0,0.0
900,0,0.592
901,0,0.13
902,0,0.0839
903,0,0.3339
904,0,0.3003
905,0,0.2891
906,0,0.2106
907,0,0.4669
908,0,0.7915
909,0,0.0334
910,0,0.2975
911,0,0.1994
912,0,0.0374
913,0,0.2629
914,0,0.5451
915,0,0.3867
916,0,0.2683
917,0,0.0
918,0,0.1453
919,0,0.2404
920,0,0.4955
921,0,0.2556
922,0,0.0877
923,0,1.0
924,0,0.065
925,0,0.0657
926,0,0.2961
927,0,0.4554
928,0,0.3485
929,0,0.0918
930,0,0.3831
931,0,0.3667
932,0,0.8522
933,0,0.1915
934,0,0.2919
935,0,0.1298
936,0,0.2079
937,0,0.4171
938,0,0.5887
939,0,0.0
940,0,0.4172
941,0,0.1924
942,0,0.306
943,0,0.1044
944,0,0.5225
945,0,0.2219
946,0,0.3672
947,0,0.025
948,0,0.6993
949,0,0.6564
950,0,0.3164
951,0,0.0066
952,0,0.1234
953,0,0.0058
954,0,0.2248
955,0,0.2018
956,0,0.3106
957,0,0.6124
958,0,0.2911
959,0,0.3503
960,0,0.1941
961,0,0.2023
962,0,0.2659
963,0,0.632
964,0,0.2221
965,0,0.335
966,0,0.3855
967,0,0.3575
968,0,0.4028
969,0,0.4479
970,0,0.4061
971,0,0.4738
972,0,0.4313
973,0,0.3904
974,0,0.441
975,0,0.2016
976,0,0.1065
977,0,0.2348
978,0,0.0
979,0,0.2977
980,0,0.1883
981,0,0.294
982,0,0.3581
983,0,0.2665
984,0,0.8283
985,0,0.7782
986,0,0.0272
987,0,0.465
988,0,0.39
989,0,0.508
990,0,0.0516
991,0,0.2938
992,0,0.3266
993,0,0.4632
994,0,0.0308
995,0,0.3327
996,0,0.1178
997,0,0.0785
998,0,0.5345
999,0,0.3606
1000,0,0.2655
1001,0,0.1876
1002,0,0.345
1003,0,0.2336
1004,0,0.1102
1005,0,0.2784
1006,0,0.4463
1007,0,0.0
1008,0,0.5497
1009,0,0.3871
1010,0,0.082
1011,0,0.4414
1012,0,0.6338
1013,0,0.2465
1014,0,0.5756
1015,0,0.4236
1016,0,0.2574
1017,0,0.3517
1018,0,0.2372
1019,0,0.0414
1020,0,0.2472
1021,0,0.4186
1022,0,0.2975
1023,0,0.3054
1024,0,0.3507
1025,0,0.2869
1026,0,0.2166
1027,0,0.1663
1028,0,0.1994
1029,0,0.1904
1030,0,0.9861
1031,0,0.2825
1032,0,0.4896
1033,0,0.0887
1034,0,0.3222
1035,0,0.0947
1036,0,0.0422
1037,0,0.2119
1038,0,0.288
1039,0,0.6342
1040,0,0.2517
1041,0,0.3225
1042,0,0.7093
1043,0,0.7744
1044,0,0.543
1045,0,0.5
1046,0,0.1438
1047,0,0.0827
1048,0,0.1034
1049,0,0.0
1050,0,0.2951
1051,0,0.3432
1052,0,0.46
1053,0,0.1092
1054,0,0.3083
1055,0,0.4573
1056,0,0.2977
1057,0,0.1459
1058,0,0.3711
1059,0,0.2302
1060,0,0.1025
1061,0,0.2258
1062,0,0.4804
1063,0,0.1602
1064,0,0.2063
1065,0,0.3803
1066,0,0.1986
1067,0,0.4563
1068,0,0.6424
1069,0,0.0794
1070,0,0.4308
1071,0,0.5836
1072,0,0.5347
1073,0,0.1839
1074,0,0.1971
1075,0,0.094
1076,0,0.1625
1077,0,0.0
1078,0,0.0
1079,0,0.0758
1080,0,0.8428
1081,0,0.2272
1082,0,0.4821
1083,0,0.1597
1084,0,0.0
1085,0,0.5565
1086,0,0.6233
1087,0,0.0365
1088,0,0.0
1089,0,0.1434
1090,0,0.3458
1091,0,0.2965
1092,0,0.1987
1093,0,0.2994
1094,0,0.5602
1095,0,0.479
1096,0,0.1322
1097,0,0.2487
1098,0,0.2056
1099,0,0.3704
1100,0,0.0688
1101,0,0.8524
1102,0,0.1884
1103,0,0.313
1104,0,0.0
1105,0,0.1046
1106,0,0.0702
1107,0,0.1321
1108,0,0.4745
1109,0,0.3457
1110,0,0.4294
1111,0,0.4835
1112,0,0.0793
1113,0,0.0281
1114,0,0.2708
1115,0,0.2185
1116,0,0.5486
1117,0,0.2953
1118,0,0.2846
1119,0,0.3517
1120,0,0.2696
1121,0,0.5987
1122,0,0.3011
1123,0,0.389
1124,0,0.1291
1125,0,0.3851
1126,0,0.1604
1127,0,0.5412
1128,0,0.2695
1129,0,0.5424
1130,0,0.3949
1131,0,0.6171
1132,0,0.0702
1133,0,0.3084
1134,0,0.2814
1135,0,0.0364
1136,0,0.109
1137,0,0.301
1138,0,0.3358
1139,0,0.405
1140,0,0.188
1141,0,0.2242
1142,0,0.5622
1143,0,0.1372
1144,0,0.3445
1145,0,0.2904
1146,0,0.4286
1147,0,0.1601
1148,0,0.3217
1149,0,0.2271
1150,0,0.35
1151,0,0.528
1152,0,0.1102
1153,0,0.491
1154,0,0.1452
1155,0,0.0
1156,0,0.6242
1157,0,0.6321
1158,0,0.2846
1159,0,0.4684
1160,0,0.0487
1161,0,0.2684
1162,0,0.6755
1163,0,0.4284
1164,0,0.3011
1165,0,0.2101
1166,0,0.1752
1167,0,0.1449
1168,0,0.549
1169,0,0.3861
1170,0,0.3909
1171,0,0.4705
1172,0,0.5474
1173,0,0.4735
1174,0,0.3605
1175,0,0.2518
1176,0,0.454
1177,0,0.2855
1178,0,0.0
1179,0,0.2074
1180,0,0.0414
1181,0,0.3844
1182,0,0.2211
1183,0,0.0974
1184,0,0.364
1185,0,0.6102
1186,0,0.3123
1187,0,0.0
1188,0,0.242
1189,0,0.3262
1190,0,0.4574
1191,0,0.2303
1192,0,0.0465
1193,0,0.4197
1194,0,0.0794
1195,0,0.5549
1196,0,0.2194
1197,0,0.4908
1198,0,0.2749
1199,0,0.5124
1200,0,0.5199
1201,0,0.5446
1202,0,0.4459
1203,0,0.1993
1204,0,0.2103
1205,0,0.585
1206,0,0.1753
1207,0,0.08
1208,0,0.2584
1209,0,0.034
1210,0,0.3689
1211,0,0.534
1212,0,0.5174
1213,0,0.075
1214,0,0.0
1215,0,0.324
1216,0,0.1138
1217,0,0.0639
1218,0,0.2034
1219,0,0.3224
1220,0,0.3729
1221,0,0.2522
1222,0,0.207
1223,0,0.464
1224,0,0.0148
1225,0,0.1485
1226,0,0.1948
1227,0,0.1843
1228,0,0.2383
1229,0,0.1939
1230,0,0.0
1231,0,0.1372
1232,0,0.4252
1233,0,0.3088
1234,0,0.3399
1235,0,0.4208
1236,0,0.0
1237,0,0.4101
1238,0,0.5742
1239,0,0.4367
1240,0,0.1289
1241,0,0.2793
1242,0,0.0
1243,0,0.4858
1244,0,0.6433
1245,0,0.3502
1246,0,0.1549
1247,0,0.0652
1248,0,0.1314
1249,0,0.4536
1250,0,0.3521
1251,0,0.1129
1252,0,0.0677
1253,0,0.1459
1254,0,0.1708
1255,0,0.2122
1256,0,0.2006
1257,0,0.128
1258,0,0.2714
1259,0,0.6023
1260,0,0.2278
1261,0,0.0905
1262,0,0.3302
1263,0,0.1679
1264,0,0.3675
1265,0,0.0
1266,0,0.5182
1267,0,0.1303
1268,0,0.279
1269,0,0.6468
1270,0,0.0796
1271,0,0.3514
1272,0,0.0829
1273,0,0.405
1274,0,0.4537
1275,0,0.2217
1276,0,0.0818
1277,0,0.2822
1278,0,0.1149
1279,0,0.731
1280,0,0.4227
1281,0,0.2288
1282,0,0.3155
1283,0,0.2982
1284,0,0.4731
1285,0,0.0704
1286,0,0.2385
1287,0,0.0
1288,0,0.2065
1289,0,0.0996
1290,0,0.1926
1291,0,0.2284
1292,0,0.0843
1293,0,0.741
1294,0,0.2701
1295,0,0.3365
1296,0,0.4069
1297,0,0.5284
1298,0,0.1665
1299,0,0.0984
1300,0,0.9455
1301,0,0.6163
1302,0,0.7208
1303,0,0.566
1304,0,0.1442
1305,0,0.4878
1306,0,0.4251
1307,0,0.7263
1308,0,0.0797
1309,0,0.3554
1310,0,0.3809
1311,0,0.4426
1312,0,0.4533
1313,0,0.6434
1314,0,0.6766
1315,0,0.3667
1316,0,0.3505
1317,0,0.4121
1318,0,0.2235
1319,0,0.4978
1320,0,0.25
1321,0,0.3346
1322,0,0.773
1323,0,0.5153
1324,0,0.2265
1325,0,0.3397
1326,0,0.1969
1327,0,0.1087
1328,0,0.345
1329,0,0.3514
1330,0,0.3676
1331,0,0.2169
1332,0,0.4958
1333,0,0.3301
1334,0,0.2396
1335,0,0.1894
1336,0,0.2954
1337,0,0.3817
1338,0,0.1569
1339,0,0.2874
1340,0,0.3975
1341,0,0.1195
1342,0,0.3245
1343,0,0.103
1344,0,0.0
1345,0,0.282
1346,0,0.2014
1347,0,0.0041
1348,0,0.2843
1349,0,0.349
1350,0,0.5212
1351,0,0.3479
1352,0,0.3867
1353,0,0.6008
1354,0,0.3113
1355,0,0.1833
1356,0,0.6639
1357,0,0.1716
1358,0,0.3924
1359,0,0.1206
1360,0,0.9234
1361,0,0.5313
1362,0,0.0835
1363,0,0.0295
1364,0,0.3351
1365,0,0.7093
1366,0,0.4512
1367,0,0.8552
1368,0,0.2241
1369,0,0.4193
1370,0,0.3889
1371,0,0.2283
1372,0,0.2234
1373,0,0.3784
1374,0,0.0414
1375,0,0.1694
1376,0,0.3511
1377,0,0.0882
1378,0,0.1538
1379,0,0.3566
1380,0,0.2941
1381,0,0.2147
1382,0,0.6176
1383,0,0.5746
1384,0,0.2988
1385,0,0.3689
1386,0,0.3464
1387,0,0.4514
1388,0,0.0339
1389,0,0.3875
1390,0,0.1241
1391,0,0.2623
1392,0,0.5642
1393,0,0.0949
1394,0,0.0069
1395,0,0.3779
1396,0,0.4214
1397,0,0.0548
1398,0,0.4537
1399,0,0.2668
1400,0,0.1672
1401,0,0.3997
1402,0,0.592
1403,0,0.2686
1404,0,0.2899
1405,0,0.3559
1406,0,0.3045
1407,0,0.4254
1408,0,0.4441
1409,0,0.252
1410,0,0.2501
1411,0,0.2382
1412,0,0.3227
1413,0,0.0209
1414,0,0.4182
1415,0,0.1248
1416,0,0.321
1417,0,0.2494
1418,0,0.1412
1419,0,0.6104
1420,0,0.2796
1421,0,0.3253
1422,0,0.2562
1423,0,0.0702
1424,0,0.404
1425,0,0.5253
1426,0,0.4258
1427,0,0.2369
1428,0,0.4007
1429,0,0.1411
1430,0,0.1269
1431,0,0.0
1432,0,0.2451
1433,0,0.0116
1434,0,0.3115
1435,0,0.2969
1436,0,0.7806
1437,0,0.2377
1438,0,0.4492
1439,0,0.3557
1440,0,0.1122
1441,0,0.7235
1442,0,0.0763
1443,0,0.5153
1444,0,0.3131
1445,0,0.4134
1446,0,0.346
1447,0,0.1981
1448,0,0.1629
1449,0,0.3633
1450,0,0.0838
1451,0,0.133
1452,0,0.2344
1453,0,0.0926
1454,0,0.3417
1455,0,0.2495
1456,0,0.3938
1457,0,0.0527
1458,0,0.1698
1459,0,0.2852
1460,0,0.5926
1461,0,0.4798
1462,0,0.3298
1463,0,0.4333
1464,0,0.4864
1465,0,0.0948
1466,0,0.0152
1467,0,0.2369
1468,0,0.2036
1469,0,0.3705
1470,0,0.5037
1471,0,0.6248
1472,0,0.0596
1473,0,0.1458
1474,0,0.0838
1475,0,0.2048
1476,0,0.4396
1477,0,0.5828
1478,0,0.2181
1479,0,0.3815
1480,0,0.1275
1481,0,0.0776
1482,0,0.7969
1483,0,0.0518
1484,0,0.4658
1485,0,0.292
1486,0,0.5888
1487,0,0.2458
1488,0,0.3846
1489,0,0.1449
1490,0,0.1079
1491,0,0.5854
1492,0,0.5651
1493,0,0.0
1494,0,0.3368
1495,0,0.2274
1496,0,0.0
1497,0,0.4258
1498,0,0.3425
1499,0,0.3295
1500,0,0.5537
1501,0,0.2779
1502,0,0.6312
1503,0,0.2011
1504,0,0.3405
1505,0,0.0668
1506,0,0.48
1507,0,0.0526
1508,0,0.4127
1509,0,0.3307
1510,0,0.7107
1511,0,0.216
1512,0,0.2229
1513,0,0.2716
1514,0,0.227
1515,0,0.4237
1516,0,0.3946
1517,0,0.4061
1518,0,0.323
1519,0,1.0
1520,0,0.0
